18,Did you actively participated in this course,1,1,0,0,0,23 10 2,,,0,0,2,2,0,0,0,0,3.59,0
19 Did you learn from this course,,2,0,0,0,0,23 10 2,,,0,0,2,2,0,0,0,1,3.61,3.61
Learning Environment and Teaching methods,,,,,,,,,,,,,,,,,,,
"20 Was this course well structured to achieve the 
learning outcomes (there was a good balance of 
lectures, tutorials, practicals etc.)",,2,0,0,0,0,21 10 4,,,0,0,3,1,0,0,0,1,3.54,3.54
21 Did the learning and teaching methods encouraged ,,2,0,0,0,0,22 12 1,,,0,0,3,1,0,0,0,1,3.63,3.63
,participation?,,,,,,,,,,,,,,,,,,
22 Was classroom environment conducive to learning?,,2,0,0,0,0,21 13 1,,,0,0,3,1,0,0,0,0,3.61,0
23 Were classrooms satisfactory?,,1,0,1,0,0,21 12 2,,,0,0,3,1,0,0,0,0,3.54,0
Learning Resources,,,,,,,,,,,,,,,,,,,
24,"Recommended reading books etc. were relevant and 
appropriate",2,0,0,0,0,24,7,2,1,1,3,1,0,0,0,0,3.54,0
"25 Provision of learning resources in the library was 
adequate and appropriate (if relevant)",,2,0,0,0,0,22 10 2,,,1,0,3,0,0,0,1,0,3.49,0
Quality of Delivery,,,,,,,,,,,,,,,,,,,
26,"The course stimulated my interest and thought in the 
subject area",2,0,0,0,0,23,9,2,1,0,2,2,0,0,0,1,3.56,3.56
27 Pace of the course was appropriate,,2,0,0,0,0,24,9,1,1,0,3,1,0,0,0,1,3.63,3.63
Page 1 of 4,,,,,,,,,,,,,,,,,,,
"NUCES, KHI",,,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,,Fall 2021,,,,,,,,,,,,,,
CS4050 - Information Systems Audit and Control     Section:BCS-7A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Muhammad Kashif Siddiqui,Registered Students:,47,Received Feedbacks:,41,,,,,,,,,,,,,,
28 Ideas and concepts were presented clearly,2,0,0,0,0,23,11,1,0,0,4,0,0,0,0,,1,3.68,3.68
Instructor/TA evaluation,,,,,,,,,,,,,,,,,,,
29 I understood the lectures,2,0,0,0,0,24,9,1,1,0,3,1,0,0,0,,0,3.63,0
30 The material was well organized and presented,2,0,0,0,0,32,0,0,0,3,4,0,0,0,0,,1,3.71,3.71
31 The instructor was responsive to student needs and ,2,0,0,0,0,25,8,1,1,0,3,1,0,0,0,,1,3.66,3.66
problems,,,,,,,,,,,,,,,,,,,
32 Had the instructor been regular throughout the ,2,0,0,0,0,24 10 1,,,0,0,4,0,0,0,0,,1,3.71,3.71
course?,,,,,,,,,,,,,,,,,,,
Tutorial,,,,,,,,,,,,,,,,,,,
33 The material in the tutorials was useful,2,0,0,0,0,21 13 1,,,0,0,2,2,0,0,0,,0,3.59,0
34 I was happy with the amount of work needed for ,2,0,0,0,0,23,11,1,0,0,3,1,0,0,0,,0,3.66,0
tutorials,,,,,,,,,,,,,,,,,,,
35 The tutor dealt effectively with my problems,2,0,0,0,0,22 12 1,,,0,0,3,1,0,0,0,,0,3.63,0
,,,,,,,,,,,,,,,Total:,25,79.78,%,
,,,,,,,,,,,,Overall Rating: 79.78,,,,,,,
Page 2 of 4,,,,,,,,,,,,,,,,,,,
"NUCES, KHI",,,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,,Fall 2021,,,,,,,,,,,,,,
CS4050 - Information Systems Audit and Control     Section:BCS-7A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Muhammad Kashif Siddiqui,Registered Students:,47,Received Feedbacks:,41,,,,,,,,,,,,,,
Comments,,,,,,,,,,,,,,,,,,,
Course Content and organization,,,,,,,,,,,,,,,,,,,
"Comments, if any",,,,,,,,,,,,,,,,,,,
1 Course Content best and teaching way excellent,,,,,,,,,,,,,,,,,,,
2 no comments,,,,,,,,,,,,,,,,,,,
Overall Evaluation,,,,,,,,,,,,,,,,,,,
The best features of the course were:,,,,,,,,,,,,,,,,,,,
3 best,,,,,,,,,,,,,,,,,,,
4 up to dated,,,,,,,,,,,,,,,,,,,
5 teacher,,,,,,,,,,,,,,,,,,,
The course could have been improved by:,,,,,,,,,,,,,,,,,,,
6 proper illuatration of what we have to do and lab,,,,,,,,,,,,,,,,,,,
7 no need,,,,,,,,,,,,,,,,,,,
8 more practical material,,,,,,,,,,,,,,,,,,,
Teacher Evaluation,,,,,,,,,,,,,,,,,,,
Comments/Suggestions about instructor,,,,,,,,,,,,,,,,,,,
9,Best teacher and best way to teach,,,,,,,,,,,,,,,,,,
10,good experienced teacher,,,,,,,,,,,,,,,,,,
11,no comments,,,,,,,,,,,,,,,,,,
12,good teacher,,,,,,,,,,,,,,,,,,
Comments/Suggestions about course,,,,,,,,,,,,,,,,,,,
13,no comments,,,,,,,,,,,,,,,,,,
14,nice course,,,,,,,,,,,,,,,,,,
15,Not any,,,,,,,,,,,,,,,,,,
Student Contribution,,,,,,,,,,,,,,,,,,,
"Comments, if any",,,,,,,,,,,,,,,,,,,
16,Best,,,,,,,,,,,,,,,,,,
17,no comments,,,,,,,,,,,,,,,,,,
Learning Environment and Teaching methods,,,,,,,,,,,,,,,,,,,
"Comments, if any",,,,,,,,,,,,,,,,,,,
18,good,,,,,,,,,,,,,,,,,,
19,no comments,,,,,,,,,,,,,,,,,,
Learning Resources,,,,,,,,,,,,,,,,,,,
"Learning materials (Lesson Plans, Course Notes etc.) were relevant and useful",,,,,,,,,,,,,,,,,,,
20,course plan and Course Notes well,,,,,,,,,,,,,,,,,,
21,may be,,,,,,,,,,,,,,,,,,
"Comments, if any",,,,,,,,,,,,,,,,,,,
22 no commente,,,,,,,,,,,,,,,,,,,
Quality of Delivery,,,,,,,,,,,,,,,,,,,
"Comments, if any",,,,,,,,,,,,,,,,,,,
23 no comments,,,,,,,,,,,,,,,,,,,
Page 3 of 4,,,,,,,,,,,,,,,,,,,
"NUCES, KHI",,,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,,Fall 2021,,,,,,,,,,,,,,
CS4050 - Information Systems Audit and Control     Section:BCS-7A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Muhammad Kashif Siddiqui,Registered Students:,47,Received Feedbacks:,41,,,,,,,,,,,,,,
Page 4 of 4,,,,,,,,,,,,,,,,,,,
